,Year_0,row_id,conf2can_0
6,2022,2022_6,ECCB
10,2022,2022_10,Galaxy Community Conference
15,2022,2022_15,EPS
16,2022,2022_15,IOP Plasma Physics
18,2022,2022_16,SPIE Instrumentation
19,2022,2022_17,UK RSE Conference
20,2022,2022_17,IEEE eScience Conference
21,2022,2022_17,Blender Conference
23,2022,2022_19,CAI (Congreso Argentino de AgroInformática)
24,2022,2022_19,AGRANDA (Simposio Argentino de grandes datos y ciencia de datos)
25,2022,2022_19,ASAI (Simposio argentino de inteligencia artioficial)
26,2022,2022_19,SIE (Simposio de informática en el estado)
28,2022,2022_19,APA (Reunión anual de producción animal)
30,2022,2022_19,Congreso Argentino de Meteorlogía
31,2022,2022_19,Reunión Bianual de agrometeorología
32,2022,2022_20,Pearc
33,2022,2022_21,Software developer conferences
35,2022,2022_23,SciPy
36,2022,2022_24,ESA
39,2022,2022_26,Supercomputing (SC)
51,2022,2022_38,ADAAS
54,2022,2022_41,RSEConUK
55,2022,2022_42,SciPy
56,2022,2022_42,PyData
57,2022,2022_42,Society for Neuroscience annual conference
59,2022,2022_43,ADASS
60,2022,2022_43,PSIDA
61,2022,2022_43,PDW
62,2022,2022_43,AAS
63,2022,2022_43,LPSC
67,2022,2022_47,SC
72,2022,2022_51,NOBUGS (New Opportunities for Better User Group Software) 
74,2022,2022_52,American Physical Society Division of Plasma Physics annual meeting
75,2022,2022_52,American Geophysical Union fall meeting
79,2022,2022_55,eScience
80,2022,2022_55,SC
81,2022,2022_55,ACAT
82,2022,2022_55,CHEP
88,2022,2022_60,scipy
89,2022,2022_61,Juliacon
90,2022,2022_62,PNSQC
91,2022,2022_62,QaSig Seattle
92,2022,2022_63,IEEE HPEC
93,2022,2022_63,GOMAC
94,2022,2022_63,Northeast Database Day
95,2022,2022_63,Accumulo Summit
96,2022,2022_63,OpenEdx Conference
99,2022,2022_65,PEARC
100,2022,2022_66,Digital Humanities
107,2022,2022_72,RSLondon
108,2022,2022_72,UseR!
109,2022,2022_72,R user groups
110,2022,2022_72,UCL and Sheffield RSE groups
111,2022,2022_73,Supercomputing
113,2022,2022_75,eResearch Australasia
115,2022,2022_77,JuliaCon
117,2022,2022_79,RSE
119,2022,2022_81,Galaxy Community Conference
120,2022,2022_82,eResearch Australasia
123,2022,2022_84,AGU and other heliophysics conferences
125,2022,2022_86,A variety of technique specific events
126,2022,2022_86,own hosted events and roadshows
127,2022,2022_87,Many
128,2022,2022_87,public health related
130,2022,2022_89,The annual symposium on lattice field theory
132,2022,2022_91,Organisation for Human Brain Mapping; Joint Statistical Meetings
133,2022,2022_92,Local meetups
134,2022,2022_93,Toronto Workshop on Reproducibility
135,2022,2022_93,Scottish Fintech Summit
136,2022,2022_93,DataTech
145,2022,2022_99,Various
146,2022,2022_100,CVPR
147,2022,2022_100,ISMRM
148,2022,2022_100,MICCAI
149,2022,2022_100,BMVC
155,2022,2022_106,APS
156,2022,2022_106,SCALA
163,2022,2022_110,quite a few others
167,2022,2022_114,JuliaCon
179,2022,2022_123,Bioconductor
181,2022,2022_125,SCnn
182,2022,2022_125,IEEE Cluster
183,2022,2022_125,SIAM PP
186,2022,2022_128,Brainhack
187,2022,2022_128,nilearn code sprint
199,2022,2022_139,Society For Neuroscience Meeting
204,2022,2022_144,ASLO
209,2022,2022_149,Réunions de collaboration
211,2022,2022_151,ECAL
212,2022,2022_151,ALIFE
213,2022,2022_151,RSE
214,2022,2022_151,HPCS
218,2022,2022_155,Réunions de collaboration
220,2022,2022_157,EuroSciPy
221,2022,2022_158,EGU
222,2022,2022_158,Metabolomics
229,2022,2022_163,CHEP (Computing for High Energy Physics)
238,2022,2022_169,LREC
239,2022,2022_169,CLARIN Annual Conferance
240,2022,2022_169,DH
241,2022,2022_170,TEI member's meetings
242,2022,2022_170,DHd conferences
243,2022,2022_171,Supercomputing
245,2022,2022_173,JuliaCon
246,2022,2022_173,ICOSAHOM
253,2022,2022_179,IbSB
254,2022,2022_179,SMB
255,2022,2022_179,COMBINE
258,2022,2022_182,PDESoft
259,2022,2022_182,Enumath
262,2022,2022_185,JupyterCon
263,2022,2022_185,JOBIM
268,2022,2022_190,SIAM PP
