,Year_0,row_id,open3de_0
0,2022,2022_0,zenodo
2,2022,2022_2,zenodo
5,2022,2022_5,zenodo
6,2022,2022_6,zenodo
9,2022,2022_9,zenodo
13,2022,2022_13,zenodo
14,2022,2022_14,zenodo
15,2022,2022_15,zenodo
19,2022,2022_18,zenodo
21,2022,2022_20,zenodo
22,2022,2022_21,zenodo
23,2022,2022_22,zenodo
24,2022,2022_23,zenodo
25,2022,2022_24,zenodo
26,2022,2022_25,zenodo
27,2022,2022_26,osf
28,2022,2022_26,codeocean
29,2022,2022_26,zenodo
30,2022,2022_27,zenodo
31,2022,2022_28,zenodo
33,2022,2022_30,zenodo
45,2022,2022_42,zenodo
46,2022,2022_43,zenodo
47,2022,2022_43,ascl.net
48,2022,2022_44,zenodo
49,2022,2022_45,doe code
50,2022,2022_46,zenodo
51,2022,2022_47,zenodo
55,2022,2022_51,zenodo
56,2022,2022_52,zenodo
58,2022,2022_54,zenodo
59,2022,2022_55,zenodo
61,2022,2022_57,local library
64,2022,2022_60,zenodo
68,2022,2022_64,zenodo
70,2022,2022_66,zenodo
74,2022,2022_70,zenodo
75,2022,2022_71,zenodo
76,2022,2022_72,zenodo
79,2022,2022_75,figshare
80,2022,2022_76,zenodo
81,2022,2022_77,zenodo
85,2022,2022_81,zenodo
87,2022,2022_82,csiro dap)
88,2022,2022_82,zenodo
90,2022,2022_84,heliophysics registry
92,2022,2022_86,zenodo 
95,2022,2022_89,zenodo
96,2022,2022_90,zenodo
97,2022,2022_91,zenodo
98,2022,2022_92,zenodo
100,2022,2022_94,zenodo
102,2022,2022_96,zenodo
105,2022,2022_99,zenodo
109,2022,2022_103,zenodo
112,2022,2022_106,vor ort
114,2022,2022_108,zenodo
115,2022,2022_109,zenodo
116,2022,2022_110,zenodo
117,2022,2022_110,figshare
118,2022,2022_110,joss
122,2022,2022_114,zenodo or figshare
124,2022,2022_116,joss
125,2022,2022_117,zenodo
138,2022,2022_128,zenodo
142,2022,2022_132,zenodo
144,2022,2022_134,zenodo
147,2022,2022_137,google scholar
148,2022,2022_137, zotero
149,2022,2022_138,data inrae
151,2022,2022_140,zenodo
155,2022,2022_144,zenodo
156,2022,2022_145,zenodo
162,2022,2022_151,zenodo
163,2022,2022_151,orda
165,2022,2022_153,aucun
166,2022,2022_154,zenodo
170,2022,2022_158,zenodo
174,2022,2022_162,zenodo
175,2022,2022_163,zenodo
177,2022,2022_165,zenodo
179,2022,2022_167,zenodo
180,2022,2022_168,zenodo
183,2022,2022_171,doi
184,2022,2022_171,zenodo
186,2022,2022_173,zenodo
187,2022,2022_174,zenodo
188,2022,2022_175,local library
189,2022,2022_176,zenodo
190,2022,2022_177,zenodo
196,2022,2022_183,zenodo
203,2022,2022_189,joss
204,2022,2022_190,zenodo
206,2022,2022_191,zenodo
208,2022,2022_192,zenodo
210,2022,2022_194,zenodo
212,2022,2022_196,local library.
215,2022,2022_199,zenodo
216,2022,2022_200,zenodo
220,2022,2022_204,zenodo
221,2022,2022_205,zenodo
224,2022,2022_208,zenodo
225,2022,2022_209,zenodo
226,2022,2022_210,zenodo
228,2022,2022_212,zenodo
229,2022,2022_213,zenodo
230,2022,2022_214,bibliothek vor ort
231,2022,2022_214,zenodo
232,2022,2022_215,zenodo
236,2022,2022_218,zenodo
238,2022,2022_220,zenodo
240,2022,2022_222,gin.gnode.org
241,2022,2022_223,zenodo
242,2022,2022_224,zenodo
243,2022,2022_225,zenodo
246,2022,2022_228,zenodo
247,2022,2022_229,bibliothek
250,2022,2022_231,zenodo
251,2022,2022_231,radar
252,2022,2022_232,zenodo
254,2022,2022_234,zenodo
255,2022,2022_235,zenodo
259,2022,2022_239,zenodo
260,2022,2022_240,zenodo
265,2022,2022_245,zenodo
268,2022,2022_248,b/a
270,2022,2022_250,zenodo
275,2022,2022_255,zenodo
287,2022,2022_267,zenodo
288,2022,2022_268,zenodo
291,2022,2022_271,zenodo
293,2022,2022_273,zenodo
294,2022,2022_274,archives such as dans zenodo 
296,2022,2022_276,zenodo
298,2022,2022_278,zenodo
299,2022,2022_279,zenodo
300,2022,2022_279,figshare
302,2022,2022_281,zenodo
303,2022,2022_282,zenodo
308,2022,2022_287,zenodo
311,2022,2022_289,zenodo
312,2022,2022_289,elsevier
316,2022,2022_293,zenodo
319,2022,2022_296,zenodo 
321,2022,2022_298,aucun
324,2022,2022_301,zenodo
325,2022,2022_302,zenodo
326,2022,2022_303,zenodo
327,2022,2022_304,zenodo
328,2022,2022_305,zenodo
331,2022,2022_307,zenodo
337,2022,2022_313,zenodo
340,2022,2022_316,zenodo
349,2022,2022_325,zenodo
351,2022,2022_327,local library
352,2022,2022_327,zenodo
353,2022,2022_328,zenodo
355,2022,2022_329,zenodo
357,2022,2022_331,zenodo
360,2022,2022_333,zenodo
361,2022,2022_334,zenodo
365,2022,2022_338,zenodo
369,2022,2022_342,zenodo
370,2022,2022_343,bibliothèque locale
373,2022,2022_346,zenodo
374,2022,2022_346,researchgate
376,2022,2022_348,aucune
382,2022,2022_354,zenodo
385,2022,2022_357,zenodo
386,2022,2022_358,zenodo
389,2022,2022_361,zenodo
