,Year_0,row_id,Ranking,Choice
0,2022,2022_0,0,Desire to advance research
1,2022,2022_1,0,Desire to work in a research environment
2,2022,2022_2,0,Opportunity for career advancement
3,2022,2022_3,0,Desire to advance research
5,2022,2022_5,0,Desire to advance research
6,2022,2022_6,0,Freedom to choose own working practices
7,2022,2022_7,0,Desire to work in a research environment
10,2022,2022_10,0,Desire to advance research
11,2022,2022_11,0,Desire to advance research
13,2022,2022_13,0,Desire to work in a research environment
14,2022,2022_14,0,Desire to advance research
15,2022,2022_15,0,Opportunity to develop software
16,2022,2022_16,0,Desire to advance research
17,2022,2022_17,0,Flexible working hours
18,2022,2022_18,0,Desire to advance research
19,2022,2022_19,0,The salary
20,2022,2022_20,0,I want to learn new skills
21,2022,2022_21,0,Desire to work in a research environment
22,2022,2022_22,0,Freedom to choose own working practices
23,2022,2022_23,0,Opportunity for career advancement
24,2022,2022_24,0,Desire to advance research
25,2022,2022_25,0,Desire to advance research
26,2022,2022_26,0,Desire to advance research
27,2022,2022_27,0,Desire to work in a research environment
28,2022,2022_28,0,Desire to advance research
29,2022,2022_29,0,Desire to work in a research environment
30,2022,2022_30,0,Desire to work in a research environment
33,2022,2022_33,0,Desire to work in a research environment
35,2022,2022_35,0,Desire to advance research
36,2022,2022_36,0,The salary
37,2022,2022_37,0,Opportunity to develop software
38,2022,2022_38,0,Desire to work in a research environment
39,2022,2022_39,0,Opportunity for career advancement
40,2022,2022_40,0,Desire to work in a research environment
41,2022,2022_41,0,Desire to work in a research environment
42,2022,2022_42,0,The salary
43,2022,2022_43,0,Freedom to choose own working practices
44,2022,2022_44,0,Opportunity to develop software
45,2022,2022_45,0,Desire to work in a research environment
46,2022,2022_46,0,The salary
47,2022,2022_47,0,Opportunity for career advancement
48,2022,2022_48,0,Desire to work in a research environment
49,2022,2022_49,0,Desire to work in a research environment
51,2022,2022_51,0,Desire to work in a research environment
52,2022,2022_52,0,Freedom to choose own working practices
53,2022,2022_53,0,Freedom to choose own working practices
54,2022,2022_54,0,Opportunity to develop software
55,2022,2022_55,0,Ability to work across disciplines
56,2022,2022_56,0,Desire to work in a research environment
57,2022,2022_57,0,Opportunity for career advancement
60,2022,2022_60,0,Desire to advance research
61,2022,2022_61,0,Freedom to choose own working practices
62,2022,2022_62,0,Desire to work in a research environment
63,2022,2022_63,0,I want to learn new skills
64,2022,2022_64,0,The salary
65,2022,2022_65,0,Freedom to choose own working practices
66,2022,2022_66,0,Desire to work in a research environment
67,2022,2022_67,0,Desire to work in a research environment
68,2022,2022_68,0,Flexible working hours
69,2022,2022_69,0,Desire to advance research
70,2022,2022_70,0,Freedom to choose own working practices
71,2022,2022_71,0,Desire to work in a research environment
72,2022,2022_72,0,Desire to work in a research environment
73,2022,2022_73,0,Flexible working hours
74,2022,2022_74,0,Ability to work across disciplines
75,2022,2022_75,0,The salary
76,2022,2022_76,0,Opportunity for career advancement
77,2022,2022_77,0,Opportunity to develop software
79,2022,2022_79,0,Opportunity for career advancement
80,2022,2022_80,0,The salary
81,2022,2022_81,0,Opportunity to develop software
82,2022,2022_82,0,Desire to work in a research environment
83,2022,2022_83,0,Desire to advance research
84,2022,2022_84,0,Freedom to choose own working practices
86,2022,2022_86,0,Opportunity to develop software
87,2022,2022_87,0,I want to learn new skills
88,2022,2022_88,0,Desire to work in a research environment
89,2022,2022_89,0,Desire to advance research
90,2022,2022_90,0,Opportunity to develop software
91,2022,2022_91,0,Desire to advance research
92,2022,2022_92,0,Opportunity for career advancement
93,2022,2022_93,0,Freedom to choose own working practices
94,2022,2022_94,0,Opportunity to develop software
95,2022,2022_95,0,Opportunity to develop software
97,2022,2022_97,0,Desire to advance research
98,2022,2022_98,0,Freedom to choose own working practices
99,2022,2022_99,0,Desire to advance research
100,2022,2022_100,0,Desire to work in a research environment
101,2022,2022_101,0,Desire to advance research
102,2022,2022_102,0,Opportunity to develop software
103,2022,2022_103,0,Opportunity for career advancement
104,2022,2022_104,0,Freedom to choose own working practices
105,2022,2022_105,0,Desire to work in a research environment
106,2022,2022_106,0,Desire to work in a research environment
107,2022,2022_107,0,Desire to work in a research environment
108,2022,2022_108,0,Freedom to choose own working practices
109,2022,2022_109,0,Freedom to choose own working practices
110,2022,2022_110,0,Opportunity to develop software
111,2022,2022_111,0,Desire to advance research
112,2022,2022_112,0,Desire to advance research
113,2022,2022_113,0,Opportunity to develop software
114,2022,2022_114,0,I want to learn new skills
115,2022,2022_115,0,Desire to advance research
116,2022,2022_116,0,Freedom to choose own working practices
117,2022,2022_117,0,Desire to work in a research environment
118,2022,2022_118,0,Opportunity to develop software
119,2022,2022_119,0,The salary
121,2022,2022_121,0,Desire to advance research
122,2022,2022_122,0,The salary
123,2022,2022_123,0,Opportunity for career advancement
124,2022,2022_124,0,Desire to advance research
125,2022,2022_125,0,Opportunity to develop software
129,2022,2022_129,0,Freedom to choose own working practices
130,2022,2022_130,0,Freedom to choose own working practices
132,2022,2022_132,0,Flexible working hours
133,2022,2022_133,0,Opportunity to develop software
134,2022,2022_134,0,Opportunity to develop software
135,2022,2022_135,0,Ability to work across disciplines
136,2022,2022_136,0,Freedom to choose own working practices
137,2022,2022_137,0,Freedom to choose own working practices
138,2022,2022_138,0,Desire to advance research
139,2022,2022_139,0,Desire to work in a research environment
140,2022,2022_140,0,Desire to work in a research environment
141,2022,2022_141,0,Opportunity to develop software
142,2022,2022_142,0,Opportunity to develop software
143,2022,2022_143,0,Desire to work in a research environment
144,2022,2022_144,0,Freedom to choose own working practices
145,2022,2022_145,0,Freedom to choose own working practices
146,2022,2022_146,0,Freedom to choose own working practices
148,2022,2022_148,0,Freedom to choose own working practices
149,2022,2022_149,0,Desire to advance research
150,2022,2022_150,0,Freedom to choose own working practices
151,2022,2022_151,0,Desire to work in a research environment
152,2022,2022_152,0,Desire to work in a research environment
153,2022,2022_153,0,Ability to work across disciplines
155,2022,2022_155,0,Desire to work in a research environment
159,2022,2022_159,0,Desire to advance research
161,2022,2022_161,0,Desire to work in a research environment
163,2022,2022_163,0,Desire to advance research
165,2022,2022_165,0,Desire to work in a research environment
166,2022,2022_166,0,Desire to advance research
167,2022,2022_167,0,Desire to advance research
168,2022,2022_168,0,Desire to work in a research environment
170,2022,2022_170,0,Desire to work in a research environment
171,2022,2022_171,0,Desire to advance research
172,2022,2022_172,0,Freedom to choose own working practices
173,2022,2022_173,0,Opportunity for career advancement
174,2022,2022_174,0,Ability to work across disciplines
175,2022,2022_175,0,Desire to work in a research environment
176,2022,2022_176,0,Desire to work in a research environment
177,2022,2022_177,0,Opportunity to develop software
178,2022,2022_178,0,Freedom to choose own working practices
179,2022,2022_179,0,Desire to work in a research environment
180,2022,2022_180,0,Desire to advance research
181,2022,2022_181,0,Desire to work in a research environment
182,2022,2022_182,0,Opportunity to develop software
183,2022,2022_183,0,I want to learn new skills
184,2022,2022_184,0,Freedom to choose own working practices
185,2022,2022_185,0,Desire to advance research
186,2022,2022_186,0,Desire to work in a research environment
189,2022,2022_189,0,Desire to work in a research environment
190,2022,2022_190,0,Freedom to choose own working practices
191,2022,2022_191,0,Desire to work in a research environment
192,2022,2022_192,0,Freedom to choose own working practices
193,2022,2022_193,0,Desire to work in a research environment
196,2022,2022_196,0,Flexible working hours
198,2022,2022_198,0,Freedom to choose own working practices
200,2022,2022_200,0,Desire to advance research
201,2022,2022_201,0,Opportunity to develop software
202,2022,2022_202,0,Ability to work across disciplines
203,2022,2022_203,0,Desire to advance research
204,2022,2022_204,0,Freedom to choose own working practices
205,2022,2022_205,0,Freedom to choose own working practices
206,2022,2022_206,0,Desire to work in a research environment
207,2022,2022_207,0,The salary
208,2022,2022_208,0,Freedom to choose own working practices
209,2022,2022_209,0,Desire to work in a research environment
210,2022,2022_210,0,Desire to work in a research environment
211,2022,2022_211,0,I want to learn new skills
213,2022,2022_213,0,Opportunity to develop software
214,2022,2022_214,0,Freedom to choose own working practices
216,2022,2022_216,0,The salary
