,Year_0,row_id,train3_0
1,2022,2022_1,vib gentle introduction to python
2,2022,2022_2,local university
6,2022,2022_6,local university
12,2022,2022_12,local university
13,2022,2022_12,online
14,2022,2022_13,local university
16,2022,2022_14,local university
17,2022,2022_14,cdt training
18,2022,2022_15,local university
19,2022,2022_16,local university
20,2022,2022_17,carpentries
21,2022,2022_17,university lecturing
22,2022,2022_17,local training
27,2022,2022_22,local university
28,2022,2022_22,and m. sc. software engineering teaching
30,2022,2022_24,university teaching
31,2022,2022_25,local university
32,2022,2022_26,local university
33,2022,2022_26,carpentries
34,2022,2022_26,summer schools
35,2022,2022_27,local group training
36,2022,2022_28,local university
37,2022,2022_28,carpentries
38,2022,2022_29,local university
39,2022,2022_30,carpentries
40,2022,2022_30,local university
51,2022,2022_41,carpentries
52,2022,2022_42,carpentries
53,2022,2022_43,openplanetary.org
54,2022,2022_44,software engineering
55,2022,2022_45,local university
57,2022,2022_47,sc bofs
62,2022,2022_52,reu
63,2022,2022_52,various summer schools
64,2022,2022_52,training within my research group
65,2022,2022_53,carpentries
66,2022,2022_53,local training
68,2022,2022_54,lbl it trainings)
70,2022,2022_56,carpentries
71,2022,2022_56,local university
72,2022,2022_56,telescope reu training
73,2022,2022_57,hpc
74,2022,2022_57,workshops
79,2022,2022_62,training on our software tool sets
80,2022,2022_63,local university
82,2022,2022_65,research group training
83,2022,2022_66,carpentries
84,2022,2022_66,informal
88,2022,2022_70,carpentries
89,2022,2022_71,carpentries
90,2022,2022_71,coderefinery
91,2022,2022_71,local programs
92,2022,2022_72,local university
93,2022,2022_72,department training
94,2022,2022_73,custom
95,2022,2022_74,carpentries
96,2022,2022_75,local hacky hour
98,2022,2022_77,juliacon
99,2022,2022_77,vueconf
100,2022,2022_77,rebase
102,2022,2022_79,carpentries
103,2022,2022_79,carpentries
104,2022,2022_79,lecturing
107,2022,2022_82,carpentries
108,2022,2022_82,local training
110,2022,2022_84,local training
112,2022,2022_86,own hosted courses
113,2022,2022_86,collaboratively run courses
116,2022,2022_89,coderefinery
117,2022,2022_89,carpentries
118,2022,2022_89,aalto scicomp training
119,2022,2022_90,carpentries
120,2022,2022_90,local university
122,2022,2022_91,local univeristy training; training at other institutions
123,2022,2022_92,carpentries
124,2022,2022_93,private & university courses
125,2022,2022_94,teach postgrad students atlocal university
127,2022,2022_94,ml software
131,2022,2022_98,posgraduate courses
133,2022,2022_100,phd summer schools (bmva)
137,2022,2022_103,carpentries
138,2022,2022_103,local university
141,2022,2022_106,carpentries
142,2022,2022_106,lokale lehrgänge
143,2022,2022_107,hpc
144,2022,2022_107,university scientific computing mphil 
145,2022,2022_108,carpentries
146,2022,2022_108,nvidia dli training
147,2022,2022_108,local university
148,2022,2022_109,local
149,2022,2022_110,uk acoustics network summer school
150,2022,2022_111,local university
152,2022,2022_113,carpentries
153,2022,2022_113,coderefinery
154,2022,2022_114,training within my group
156,2022,2022_116,microscopy
157,2022,2022_116,software
158,2022,2022_117,eu project training
159,2022,2022_117,local university
165,2022,2022_123,carpentries
166,2022,2022_123,local university
172,2022,2022_129,local university
175,2022,2022_132,local junior scientist training
176,2022,2022_133,local training
177,2022,2022_133,country wide university training
178,2022,2022_134,molssi
179,2022,2022_134,local university
180,2022,2022_134,bioexcel
181,2022,2022_134,gromacs workshops
185,2022,2022_137,mais je forme localement de pair à pairs.
188,2022,2022_140,carpentries
194,2022,2022_145,en tant que cofo et dans le réseau de métier cepage
198,2022,2022_148,mais en interne
201,2022,2022_151,gpu training
202,2022,2022_151,software engineering best practice
208,2022,2022_157,local university
210,2022,2022_159,capacitacion universitaria local
214,2022,2022_163,programme local
215,2022,2022_163,computing schools (gridka)
220,2022,2022_167,local university
224,2022,2022_171,coursework
225,2022,2022_171,tutorials
227,2022,2022_173,local university
